entity_id,entity_name,segment,owner
POL001,Policy segment 1,Growth,Operations
POL002,Policy segment 2,Strategic,Product
POL003,Policy segment 3,Watch,Analytics
POL004,Policy segment 4,Strategic,Analytics
POL005,Policy segment 5,Watch,Analytics
POL006,Policy segment 6,Growth,Customer
POL007,Policy segment 7,Growth,Revenue
POL008,Policy segment 8,Core,Operations
POL009,Policy segment 9,Watch,Customer
POL010,Policy segment 10,Growth,Revenue
POL011,Policy segment 11,Core,Product
POL012,Policy segment 12,Core,Revenue
POL013,Policy segment 13,Strategic,Analytics
POL014,Policy segment 14,Core,Revenue
POL015,Policy segment 15,Watch,Revenue
POL016,Policy segment 16,Watch,Revenue
POL017,Policy segment 17,Core,Operations
POL018,Policy segment 18,Strategic,Revenue
POL019,Policy segment 19,Core,Operations
POL020,Policy segment 20,Strategic,Customer
POL021,Policy segment 21,Core,Customer
POL022,Policy segment 22,Watch,Revenue
POL023,Policy segment 23,Growth,Product
POL024,Policy segment 24,Strategic,Product
POL025,Policy segment 25,Watch,Product
POL026,Policy segment 26,Growth,Customer
POL027,Policy segment 27,Strategic,Customer
POL028,Policy segment 28,Growth,Product
POL029,Policy segment 29,Growth,Operations
POL030,Policy segment 30,Core,Customer
POL031,Policy segment 31,Core,Revenue
POL032,Policy segment 32,Watch,Customer
POL033,Policy segment 33,Growth,Operations
POL034,Policy segment 34,Core,Customer
POL035,Policy segment 35,Watch,Operations
POL036,Policy segment 36,Strategic,Analytics
